Method,URL,CLASS
GET,/index.html,0
POST,/login,0
GET,/products?id=5,0
GET,/search?q=book,0
POST,/cart/add,0
GET,/contact,0
GET,/about,0
GET,/home,0
POST,/register,0
GET,/blog,0
GET,/products/view?id=12,0
POST,/checkout,0
GET,/faq,0
GET,/support,0
GET,/news,0
POST,/login,1
GET,/admin,1
GET,/products/delete?id=10,1
POST,/cart/checkout,1
GET,/manage/users,1
POST,/login,0
GET,/index.html?user=1,0
POST,/comment/add,0
GET,/search?q=laptop,0
POST,/register,0
GET,/products?id=25,0
GET,/home,0
GET,/blog?id=3,0
POST,/cart/add,0
GET,/contact,0
GET,/about,0
GET,/faq,0
POST,/checkout,0
GET,/support,0
GET,/products/view?id=15,0
POST,/login,1
GET,/admin/dashboard,1
POST,/products/delete?id=20,1
GET,/manage/orders,1
POST,/cart/checkout,1
GET,/index.html,0
GET,/products?id=7,0
POST,/comment/add,0
GET,/search?q=phone,0
GET,/blog,0
POST,/register,0
GET,/home,0
GET,/about,0
POST,/login,0
GET,/contact,0
GET,/faq,0
POST,/checkout,0
GET,/support,0
GET,/products/view?id=8,0
POST,/cart/add,0
GET,/products?id=9,0
GET,/search?q=camera,0
POST,/login,1
GET,/admin/settings,1
POST,/products/delete?id=30,1
GET,/manage/users,1
POST,/cart/checkout,1
GET,/index.html,0
GET,/home,0
POST,/register,0
GET,/blog?id=2,0
GET,/products?id=11,0
POST,/comment/add,0
GET,/search?q=headphones,0
GET,/about,0
POST,/login,0
GET,/contact,0
GET,/faq,0
POST,/checkout,0
GET,/support,0
GET,/products/view?id=14,0
POST,/cart/add,0
GET,/products?id=21,0
GET,/search?q=tablet,0
POST,/login,1
GET,/admin/reports,1
POST,/products/delete?id=35,1
GET,/manage/orders,1
POST,/cart/checkout,1
GET,/index.html,0
GET,/home,0
POST,/register,0
GET,/blog,0
GET,/products?id=17,0
POST,/comment/add,0
GET,/search?q=monitor,0
GET,/about,0
POST,/login,0
GET,/contact,0
GET,/faq,0
